case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow
37,37,14,1,1,1900000037,0,1,0,1414,1,0,26,26,4710,0
37,37,14,1,1,1900000037,1,1,1,1641,1,56,0,30,5450,0
38,38,15,2,2,1900000038,0,2,1,682,1,56,0,14,2530,0
38,38,15,2,2,1900000038,1,2,1,2088,1,56,0,38,6760,0
39,39,16,3,0,1900000039,0,3,1,2588,1,45,0,39,8360,0
39,39,16,3,0,1900000039,1,3,0,1631,1,0,56,26,5280,0
40,0,24,5,2,1900000040,0,1,0,652,1,0,51,12,2220,0
40,0,24,5,2,1900000040,1,1,0,1316,1,0,56,23,4140,0
41,1,25,0,0,1900000041,0,2,1,1588,1,95,0,30,5130,0
41,1,25,0,0,1900000041,1,2,1,1876,1,52,0,34,6150,0
42,2,26,1,1,1900000042,0,3,1,257,1,62,0,6,1230,0
42,2,26,1,1,1900000042,1,3,1,466,1,39,0,10,1940,0
43,3,27,2,2,1900000043,0,0,0,989,1,0,44,20,3460,0
43,3,27,2,2,1900000043,1,0,0,1146,1,0,37,23,3990,0
44,4,28,3,0,1900000044,0,1,0,457,1,0,111,8,1490,0
44,4,28,3,0,1900000044,1,1,0,556,1,0,65,11,2030,0
45,5,29,4,1,1900000045,0,2,1,1810,1,63,0,33,5840,0
45,5,29,4,1,1900000045,1,2,0,2700,3,79,84,46,8680,0
46,6,30,5,2,1900000046,0,3,0,1717,2,76,87,29,5190,0
46,6,30,5,2,1900000046,1,3,0,845,1,0,57,15,2830,0
47,7,31,0,0,1900000047,0,0,0,1208,1,0,71,23,4100,0
47,7,31,0,0,1900000047,1,0,1,2092,1,27,0,40,6600,0
48,8,32,1,1,1900000048,0,1,1,2121,1,7,0,36,7130,0
48,8,32,1,1,1900000048,1,1,1,2014,1,3,0,34,6750,0
49,9,33,2,2,1900000049,0,2,0,2700,3,109,93,45,8720,0
49,9,33,2,2,1900000049,1,2,0,2700,3,119,57,47,8550,0
50,10,34,3,0,1900000050,0,3,1,1144,1,22,0,21,3850,0
50,10,34,3,0,1900000050,1,3,1,1359,1,23,0,25,4540,0
51,11,35,4,1,1900000051,0,0,1,2551,1,5,0,45,8240,0
51,11,35,4,1,1900000051,1,0,0,1860,1,0,33,32,6280,0
52,12,36,5,2,1900000052,0,1,0,1104,1,0,42,18,3690,0
52,12,36,5,2,1900000052,1,1,0,1373,1,0,23,23,4500,0
53,13,37,0,0,1900000053,0,2,0,560,1,0,65,11,2190,0
53,13,37,0,0,1900000053,1,2,0,1046,1,0,82,19,3670,0
54,14,38,1,1,1900000054,0,3,0,2700,3,82,82,51,7960,0
54,14,38,1,1,1900000054,1,3,0,2601,1,0,82,50,7840,0
55,15,39,2,2,1900000055,0,0,0,2201,1,0,16,41,7030,0
