region,attempts,completed,encounters,losses,combat_seconds,remedies
0,1,1,6,0,155.733,5
1,2,1,8,1,637.1,7
2,1,1,6,0,263.833,4
3,1,1,6,0,314.233,5
4,3,1,14,2,627.8,13
5,1,1,6,0,462.867,5
6,1,1,6,0,150.4,2
7,1,1,6,0,199.9,2
