case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow,personality,decisions,distance,objective_distance,mean_energy,stationary_fraction,retreat_fraction,low_hp_decisions,low_hp_retreats,casts_1,casts_2,casts_3,casts_4,casts_5,damage,damage_taken,healed,shielded,control,model_checksum,opponent_checksum
14,14,31,2,0,2100000014,1,2,1,360,1,113,0,10,1480,0,STEADY,120,2.47112,4.07934,0.316,0.0416667,0.00833333,0,0,3,4,1,1,1,137,0,0,0,8,4a424577,c79f418b
15,15,32,3,0,2100000015,0,3,0,884,1,0,37,18,3100,0,STEADY,295,3.92649,1.88011,0.19722,0.511864,0.0711864,77,7,1,14,0,1,2,84,118,0,23,348,4a424577,c79f418b
15,15,32,3,0,2100000015,1,3,0,926,1,0,81,18,3090,0,STEADY,309,3.90313,3.00952,0.217362,0.38835,0.0614887,38,6,3,9,0,1,5,40,118,0,0,279,4a424577,c79f418b
16,16,33,4,0,2100000016,0,0,0,922,1,0,17,19,3360,0,STEADY,308,1.85495,5.20343,0.148409,0.0292208,0.00649351,134,0,16,1,0,0,2,135,115,0,0,0,4a424577,c79f418b
16,16,33,4,0,2100000016,1,0,0,1057,1,0,35,21,3740,0,STEADY,353,1.63664,6.77439,0.151147,0.0481586,0.0283286,253,0,18,2,0,0,1,117,115,0,0,0,4a424577,c79f418b
17,17,34,5,0,2100000017,0,1,1,599,1,7,0,9,1840,0,STEADY,200,4.45912,5.83314,0.587275,0.355,0.26,28,6,1,2,0,4,2,140,109,12,0,0,4a424577,c79f418b
17,17,34,5,0,2100000017,1,1,0,526,1,0,6,10,1780,0,STEADY,176,4.04444,5.08709,0.442386,0.244318,0.0625,54,8,3,2,0,3,2,134,105,9,0,10,4a424577,c79f418b
18,18,35,0,0,2100000018,0,2,1,1661,1,73,0,30,4280,0,STEADY,554,3.75381,5.30199,0.133704,0.0649819,0.216606,0,0,26,2,0,0,2,110,56,0,0,9,4a424577,c79f418b
18,18,35,0,0,2100000018,1,2,1,1148,1,99,0,22,3240,0,STEADY,383,3.72636,5.68594,0.168324,0.0600522,0.172324,0,0,18,2,0,0,2,110,30,0,0,7,4a424577,c79f418b
19,19,36,1,0,2100000019,0,3,0,728,1,0,1,15,2680,0,STEADY,243,4.01355,2.6127,0.25677,0.271605,0.288066,60,27,12,1,0,1,1,92,132,0,14,204,4a424577,c79f418b
19,19,36,1,0,2100000019,1,3,1,649,1,52,0,14,2470,0,STEADY,217,4.69842,2.83,0.226429,0.271889,0.299539,14,3,11,0,0,1,2,93,80,0,22,71,4a424577,c79f418b
20,20,37,2,0,2100000020,0,0,1,1085,1,71,0,19,3890,0,STEADY,362,5.60911,5.7304,0.224517,0.279006,0.127072,0,0,10,3,0,4,2,150,31,0,7,219,4a424577,c79f418b
20,20,37,2,0,2100000020,1,0,1,445,1,29,0,9,1980,0,STEADY,149,6.22429,2.27422,0.273893,0.463087,0.134228,48,17,5,2,1,1,0,150,73,0,22,214,4a424577,c79f418b
21,21,38,3,0,2100000021,0,1,1,1147,1,86,0,23,3640,0,STEADY,383,3.80471,8.17925,0.235196,0.0208877,0.237598,0,0,12,8,1,0,2,104,38,0,0,99,4a424577,c79f418b
21,21,38,3,0,2100000021,1,1,1,1240,1,93,0,27,3790,0,STEADY,414,3.09858,4.1155,0.158756,0.0169082,0.270531,0,0,7,18,1,0,1,104,31,0,0,46,4a424577,c79f418b
22,22,39,4,0,2100000022,0,2,1,2221,1,98,0,36,7860,0,STEADY,741,2.07312,3.66595,0.143219,0.0931174,0.0728745,0,0,13,4,10,1,8,114,77,0,27,99,4a424577,c79f418b
22,22,39,4,0,2100000022,1,2,0,2700,3,111,27,44,9640,0,STEADY,900,2.23541,4.18114,0.136253,0.151111,0.102222,0,0,20,4,13,2,5,87,64,0,78,98,4a424577,c79f418b
23,23,0,5,0,2100000023,0,3,1,616,1,6,0,14,2190,0,STEADY,206,3.44438,4.41965,0.294927,0.169903,0.00970874,79,0,5,7,0,0,2,109,117,18,0,61,4a424577,c79f418b
23,23,0,5,0,2100000023,1,3,1,736,1,31,0,17,2450,0,STEADY,246,2.53419,4.45891,0.243089,0.101626,0.0406504,34,5,10,5,0,0,2,105,91,17,0,88,4a424577,c79f418b
24,24,1,0,0,2100000024,0,0,0,1063,1,0,29,21,3520,0,STEADY,355,3.26465,2.74556,0.201803,0.416901,0.242254,151,21,12,6,1,2,0,107,125,0,31,270,4a424577,c79f418b
24,24,1,0,0,2100000024,1,0,0,1506,1,0,78,29,4840,0,STEADY,502,3.1768,4.12202,0.158775,0.2749,0.237052,235,59,14,3,1,1,10,68,125,0,20,117,4a424577,c79f418b
25,25,2,1,0,2100000025,0,1,0,485,1,0,17,10,1820,0,STEADY,162,4.88088,6.46688,0.360833,0.203704,0,121,0,0,6,2,0,2,77,104,0,24,56,4a424577,c79f418b
25,25,2,1,0,2100000025,1,1,0,179,1,0,80,3,510,0,STEADY,60,9.29645,2.37725,0.89775,0.0333333,0.4,19,14,0,3,0,0,0,14,104,0,0,90,4a424577,c79f418b
26,26,3,2,0,2100000026,0,2,1,1168,1,53,0,24,3970,0,STEADY,390,2.81173,3.73084,0.180846,0.123077,0.2,0,0,7,9,0,0,8,106,55,0,0,14,4a424577,c79f418b
26,26,3,2,0,2100000026,1,2,1,619,1,75,0,15,2310,0,STEADY,207,3.40969,3.09148,0.218213,0.169082,0.111111,0,0,6,7,0,0,2,106,33,0,0,104,4a424577,c79f418b
27,27,4,3,0,2100000027,0,3,1,830,1,95,0,17,2990,0,STEADY,277,5.37025,4.20707,0.249025,0.299639,0.0830325,0,0,15,1,0,0,1,123,50,0,0,112,4a424577,c79f418b
27,27,4,3,0,2100000027,1,3,1,762,1,66,0,16,2820,0,STEADY,254,4.03404,2.37552,0.254685,0.389764,0.019685,0,0,14,1,0,0,1,123,79,0,0,158,4a424577,c79f418b
28,28,5,4,0,2100000028,0,0,1,1106,1,66,0,21,3800,0,STEADY,369,3.80608,4.59906,0.169282,0.422764,0.368564,0,0,1,17,1,0,2,141,45,0,0,7,4a424577,c79f418b
28,28,5,4,0,2100000028,1,0,1,586,1,111,0,12,2310,0,STEADY,196,4.68773,2.45648,0.273061,0.459184,0.27551,0,0,2,8,1,0,1,141,0,0,0,216,4a424577,c79f418b
29,29,6,5,0,2100000029,0,1,0,1724,1,0,7,32,5520,0,STEADY,575,3.84052,5.19785,0.154896,0.328696,0.04,224,4,15,5,8,0,4,124,102,0,29,114,4a424577,c79f418b
29,29,6,5,0,2100000029,1,1,0,1547,1,0,32,32,4680,0,STEADY,516,3.23815,2.73967,0.152422,0.422481,0.153101,79,13,23,2,3,0,4,99,102,0,20,318,4a424577,c79f418b
30,30,7,0,0,2100000030,0,2,1,418,1,82,0,11,1710,0,STEADY,140,3.52057,6.7945,0.380693,0.128571,0.25,0,0,8,3,0,0,0,100,43,0,0,0,4a424577,c79f418b
30,30,7,0,0,2100000030,1,2,1,651,1,99,0,17,2250,0,STEADY,217,3.34055,5.99634,0.266051,0.0829493,0.184332,0,0,14,3,0,0,0,100,26,0,0,0,4a424577,c79f418b
31,31,8,1,0,2100000031,0,3,1,749,1,30,0,15,2710,0,STEADY,250,4.26292,3.23735,0.25774,0.244,0,34,0,0,12,1,0,2,116,111,9,0,50,4a424577,c79f418b
31,31,8,1,0,2100000031,1,3,1,1008,1,18,0,19,3390,0,STEADY,336,4.38993,3.98212,0.306592,0.327381,0.0714286,181,21,0,16,1,0,2,116,123,9,0,85,4a424577,c79f418b
32,32,9,2,0,2100000032,0,0,0,2674,1,0,17,49,8550,0,STEADY,892,3.02434,5.24029,0.0886155,0.0672646,0.410314,116,63,46,0,1,1,1,125,121,0,0,73,4a424577,c79f418b
32,32,9,2,0,2100000032,1,0,0,1405,1,0,9,27,4760,0,STEADY,469,3.10471,4.52131,0.128348,0.0469083,0.208955,155,24,24,0,2,0,1,142,121,0,0,213,4a424577,c79f418b
33,33,10,3,0,2100000033,0,1,1,1532,1,45,0,29,4900,0,STEADY,511,3.90672,6.10139,0.166928,0.0528376,0.0273973,13,0,22,2,4,0,1,124,107,0,0,104,4a424577,c79f418b
33,33,10,3,0,2100000033,1,1,1,1017,1,120,0,20,3550,0,STEADY,339,3.73659,6.45029,0.164808,0.0619469,0.00589971,0,0,15,2,1,0,2,124,32,0,0,39,4a424577,c79f418b
34,34,11,4,0,2100000034,0,2,1,592,1,89,0,14,2230,0,STEADY,198,4.00119,1.89743,0.327525,0.494949,0.020202,0,0,5,7,0,1,1,117,51,0,0,214,4a424577,c79f418b
34,34,11,4,0,2100000034,1,2,0,1069,1,0,33,24,3490,0,STEADY,357,3.44092,2.53572,0.189818,0.537815,0.070028,92,0,13,9,0,0,2,120,140,0,0,452,4a424577,c79f418b
35,35,12,5,0,2100000035,0,3,0,448,1,0,47,12,1720,0,STEADY,150,3.812,1.54466,0.2596,0.153333,0.0733333,32,0,4,7,0,1,0,64,101,0,0,141,4a424577,c79f418b
35,35,12,5,0,2100000035,1,3,1,538,1,16,0,14,1960,0,STEADY,180,2.76307,4.76635,0.216778,0.0111111,0,31,0,4,9,0,1,0,111,85,0,10,29,4a424577,c79f418b
36,36,13,0,0,2100000036,0,0,1,518,1,1,0,11,2040,0,STEADY,173,4.5241,3.80113,0.28237,0.213873,0.0982659,78,8,2,8,0,0,1,104,92,0,0,97,4a424577,c79f418b
36,36,13,0,0,2100000036,1,0,0,594,1,0,26,13,2310,0,STEADY,198,4.92994,5.99657,0.231288,0.277778,0.030303,39,0,1,11,0,0,1,78,93,0,0,29,4a424577,c79f418b
37,37,14,1,0,2100000037,0,1,0,1878,1,0,41,35,6160,0,STEADY,626,2.22516,2.10087,0.133155,0.0527157,0.798722,96,68,32,0,3,0,0,72,150,0,0,241,4a424577,c79f418b
37,37,14,1,0,2100000037,1,1,0,1641,1,0,28,31,5440,0,STEADY,547,2.39801,3.24493,0.129433,0.0438757,0.645338,116,33,28,0,2,0,1,85,150,0,0,97,4a424577,c79f418b
38,38,15,2,0,2100000038,0,2,1,478,1,44,0,11,2020,0,STEADY,160,5.27769,2.65589,0.266344,0.54375,0.05,0,0,5,4,0,1,1,118,60,0,0,172,4a424577,c79f418b
38,38,15,2,0,2100000038,1,2,1,819,1,44,0,17,3040,0,STEADY,273,4.63112,2.13242,0.181392,0.575092,0.161172,0,0,7,8,0,1,1,118,60,0,0,208,4a424577,c79f418b
39,39,16,3,0,2100000039,0,3,1,1753,1,86,0,29,5920,0,STEADY,585,4.31428,6.93249,0.222496,0.223932,0.0837607,0,0,4,8,0,11,6,115,28,0,67,88,4a424577,c79f418b
39,39,16,3,0,2100000039,1,3,0,1313,1,0,8,23,4400,0,STEADY,438,3.45874,2.86309,0.212568,0.175799,0.0319635,112,1,6,4,0,7,6,107,114,0,44,209,4a424577,c79f418b
40,0,24,5,0,2100000040,0,1,1,685,1,36,0,16,2420,0,STEADY,229,4.24657,4.02138,0.321376,0.28821,0.0524017,15,0,8,6,1,0,1,125,77,0,0,0,4a424577,c79f418b
40,0,24,5,0,2100000040,1,1,1,877,1,11,0,20,2920,0,STEADY,293,3.7125,3.33429,0.220512,0.139932,0.249147,31,0,13,5,1,1,0,125,102,0,0,262,4a424577,c79f418b
41,1,25,0,0,2100000041,0,2,0,689,1,0,3,16,2380,0,STEADY,230,3.12737,2.78417,0.219261,0.347826,0.0434783,48,0,8,6,0,1,1,101,136,0,40,38,4a424577,c79f418b
41,1,25,0,0,2100000041,1,2,1,736,1,58,0,17,2530,0,STEADY,246,3.31415,2.28953,0.195915,0.329268,0.0569106,0,0,9,5,0,1,2,104,78,0,18,120,4a424577,c79f418b
42,2,26,1,0,2100000042,0,3,1,685,1,7,0,14,2620,0,STEADY,229,4.91115,3.79232,0.209956,0.432314,0.20524,57,7,3,10,0,0,1,108,87,0,0,70,4a424577,c79f418b
42,2,26,1,0,2100000042,1,3,1,636,1,44,0,13,2450,0,STEADY,212,4.55336,3.91413,0.224858,0.584906,0.29717,0,0,3,9,0,0,1,108,50,0,0,0,4a424577,c79f418b
43,3,27,2,0,2100000043,0,0,0,409,1,0,81,10,1810,0,STEADY,137,3.62386,2.7642,0.327774,0.364964,0.0364964,62,5,7,0,1,1,1,64,106,0,15,0,4a424577,c79f418b
43,3,27,2,0,2100000043,1,0,0,633,1,0,90,14,2440,0,STEADY,211,3.80804,4.63656,0.198602,0.293839,0.0379147,59,2,12,0,0,1,1,55,106,0,15,50,4a424577,c79f418b
44,4,28,3,0,2100000044,0,1,0,654,1,0,55,14,2420,0,STEADY,218,5.65958,4.95713,0.449174,0.293578,0.00458716,90,0,1,10,0,1,2,56,136,13,0,67,4a424577,c79f418b
44,4,28,3,0,2100000044,1,1,0,418,1,0,92,9,1660,0,STEADY,140,7.59857,3.63203,0.629043,0.364286,0,46,0,0,7,1,1,0,19,123,0,0,10,4a424577,c79f418b
45,5,29,4,0,2100000045,0,2,1,1021,1,97,0,21,3320,0,STEADY,341,3.37078,2.75385,0.237551,0.460411,0.111437,0,0,12,1,1,4,3,102,44,0,0,158,4a424577,c79f418b
45,5,29,4,0,2100000045,1,2,1,1443,2,72,33,30,4440,0,STEADY,481,2.93489,2.5612,0.199886,0.503119,0.130977,0,0,22,4,1,2,1,69,69,0,0,600,4a424577,c79f418b
46,6,30,5,0,2100000046,0,3,1,1966,1,67,0,37,6420,0,STEADY,656,2.02298,8.56577,0.116989,0.00304878,0.00762195,0,0,35,0,1,0,1,108,64,0,0,0,4a424577,c79f418b
46,6,30,5,0,2100000046,1,3,1,1816,1,105,0,34,5840,0,STEADY,606,1.60478,7.92328,0.120017,0,0.0313531,0,0,32,0,0,0,2,124,26,0,0,0,4a424577,c79f418b
47,7,31,0,0,2100000047,0,0,1,442,1,48,0,12,1840,0,STEADY,148,2.34398,3.29134,0.220473,0.121622,0.0202703,0,0,7,3,0,1,1,141,52,0,0,24,4a424577,c79f418b
47,7,31,0,0,2100000047,1,0,1,442,1,66,0,11,1860,0,STEADY,148,2.79587,2.56831,0.288074,0.148649,0.0810811,0,0,4,5,1,1,0,141,34,0,0,26,4a424577,c79f418b
48,8,32,1,0,2100000048,0,1,1,855,1,59,0,16,2880,0,STEADY,285,5.03106,3.62531,0.248088,0.312281,0.0280702,0,0,13,0,0,1,2,121,57,0,0,73,4a424577,c79f418b
48,8,32,1,0,2100000048,1,1,0,671,1,0,49,14,2470,0,STEADY,224,4.36986,2.64845,0.252254,0.232143,0.223214,83,10,8,1,2,1,2,72,116,0,10,172,4a424577,c79f418b
49,9,33,2,0,2100000049,0,2,1,979,1,66,0,21,3350,0,STEADY,327,3.14581,4.41117,0.161774,0.0244648,0.165138,0,0,3,13,1,0,4,152,89,6,0,8,4a424577,c79f418b
49,9,33,2,0,2100000049,1,2,1,1057,1,47,0,23,3510,0,STEADY,353,2.93765,3.30132,0.144363,0.0311615,0.348442,15,0,2,16,1,1,3,152,114,12,0,17,4a424577,c79f418b
50,10,34,3,0,2100000050,0,3,1,697,1,79,0,15,2610,0,STEADY,233,5.11253,2.35862,0.275451,0.141631,0.356223,0,0,12,3,0,0,0,140,45,0,0,311,4a424577,c79f418b
50,10,34,3,0,2100000050,1,3,1,2133,2,32,41,40,6860,0,STEADY,711,3.98945,2.63452,0.133636,0.129395,0.392405,211,94,37,3,0,0,0,99,92,0,0,600,4a424577,c79f418b
51,11,35,4,0,2100000051,0,0,1,2146,1,15,0,44,6360,0,STEADY,716,3.23984,5.66689,0.0968715,0.111732,0.184358,393,132,32,3,0,4,5,94,138,36,28,34,4a424577,c79f418b
51,11,35,4,0,2100000051,1,0,1,787,1,21,0,18,2720,0,STEADY,263,3.13018,3.20899,0.188175,0.0494297,0.0114068,31,0,12,2,0,2,2,110,96,0,0,52,4a424577,c79f418b
52,12,36,5,0,2100000052,0,1,1,604,1,81,0,13,2150,0,STEADY,202,3.555,6.92564,0.282921,0.143564,0.0445545,0,0,7,1,2,1,2,93,30,0,0,2,4a424577,c79f418b
52,12,36,5,0,2100000052,1,1,1,376,1,87,0,9,1670,0,STEADY,126,4.7366,4.06046,0.400476,0.253968,0.015873,0,0,3,1,2,1,2,93,24,0,0,0,4a424577,c79f418b
53,13,37,0,0,2100000053,0,2,0,644,1,0,105,14,2480,0,STEADY,215,5.37133,4.05865,0.227744,0.330233,0.372093,101,26,11,1,1,0,1,45,104,0,0,25,4a424577,c79f418b
53,13,37,0,0,2100000053,1,2,1,1866,1,36,0,35,6120,0,STEADY,622,4.61549,5.85146,0.105828,0.279743,0.38746,229,65,32,0,2,0,1,150,68,0,0,129,4a424577,c79f418b
54,14,38,1,0,2100000054,0,3,1,619,1,85,0,14,2040,0,STEADY,207,2.95959,5.52839,0.266039,0.120773,0.0917874,0,0,4,6,1,1,2,104,28,0,17,21,4a424577,c79f418b
