region,attempts,completed,encounters,losses,combat_seconds,remedies
0,4,1,18,3,1431.7,18
1,2,1,12,1,1224.17,10
2,4,1,14,3,1448.93,15
3,1,1,6,0,607.033,5
4,2,1,7,1,1039.83,8
5,1,1,6,0,633.433,5
6,4,1,14,3,1284.9,15
7,2,1,9,1,1048.67,8
