case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow,personality,decisions,distance,objective_distance,mean_energy,stationary_fraction,retreat_fraction,low_hp_decisions,low_hp_retreats,casts_1,casts_2,casts_3,casts_4,casts_5,damage,damage_taken,healed,shielded,control,model_checksum,opponent_checksum
14,14,31,2,0,2160000014,1,2,1,1287,1,92,0,14,2457,0,STEADY,429,1.66684,7.26569,0.260284,0.037296,0.00699301,0,0,1,8,2,2,1,141,21,0,29,9,e617ab48,0
15,15,32,3,0,2160000015,0,3,0,544,1,0,89,11,1830,0,STEADY,182,4.70379,3.47323,0.310209,0.423077,0.032967,43,0,3,5,0,1,2,32,118,0,0,0,e617ab48,0
15,15,32,3,0,2160000015,1,3,0,597,1,0,81,12,1842,0,STEADY,199,4.0228,2.59157,0.296543,0.467337,0,96,0,6,4,0,1,1,40,118,0,24,0,e617ab48,0
16,16,33,4,0,2160000016,0,0,1,927,1,87,0,15,2814,0,STEADY,309,2.67622,6.19736,0.160123,0.0485437,0.0194175,0,0,12,1,1,0,1,152,28,0,0,19,e617ab48,0
16,16,33,4,0,2160000016,1,0,1,919,1,90,0,13,2551,0,STEADY,307,2.42841,7.27139,0.17801,0.0749186,0.0977199,0,0,10,2,1,0,0,152,25,0,0,0,e617ab48,0
17,17,34,5,0,2160000017,0,1,0,703,1,0,8,10,1446,0,STEADY,235,6.70399,4.28164,0.662089,0.229787,0.459574,30,10,5,0,1,2,2,132,98,3,0,111,e617ab48,0
17,17,34,5,0,2160000017,1,1,0,616,1,0,18,9,1517,0,STEADY,206,3.19847,4.77946,0.362563,0.223301,0.0291262,98,0,4,1,1,2,1,122,96,3,0,0,e617ab48,0
18,18,35,0,0,2160000018,0,2,1,1350,1,101,0,19,3145,0,STEADY,450,4.06452,3.75737,0.192722,0.0711111,0.197778,0,0,14,5,0,0,0,110,28,0,0,107,e617ab48,0
18,18,35,0,0,2160000018,1,2,0,1634,1,0,1,20,3305,0,STEADY,545,3.76939,3.13213,0.155284,0.0385321,0.174312,127,20,15,4,0,0,1,100,129,0,0,210,e617ab48,0
19,19,36,1,0,2160000019,0,3,1,936,1,34,0,16,2855,0,STEADY,312,3.86296,2.42529,0.190224,0.272436,0.365385,144,81,13,1,0,1,1,93,98,0,22,25,e617ab48,0
19,19,36,1,0,2160000019,1,3,0,977,1,0,33,18,3150,0,STEADY,326,3.83461,2.26066,0.170374,0.383436,0.245399,152,31,15,0,0,1,2,60,132,0,22,0,e617ab48,0
20,20,37,2,0,2160000020,0,0,0,543,1,0,111,10,1942,0,STEADY,181,4.52752,2.65236,0.251867,0.309392,0.480663,39,22,7,1,0,1,1,39,102,0,0,134,e617ab48,0
20,20,37,2,0,2160000020,1,0,0,645,1,0,81,9,1846,0,STEADY,215,4.25824,3.70732,0.230665,0.288372,0.651163,80,65,7,1,0,1,0,69,102,0,0,102,e617ab48,0
