starter,seed,region,friends,battles,rounds,combat_seconds,losses,remedies,bells
0,20260907,0,5,26,26,398.733,6,9,1
0,20260907,1,10,47,85,2990.33,17,59,2
0,20260907,2,15,57,105,3384.17,17,68,3
0,20260907,3,20,67,124,3690.57,17,80,4
0,20260907,4,25,77,140,4000.33,17,86,5
0,20260907,5,30,87,157,4374.37,17,94,6
0,20260907,6,35,99,183,5053.13,19,108,7
0,20260907,7,40,109,204,5875.97,19,117,8
1,20260908,0,5,24,24,354.9,0,9,1
1,20260908,1,10,51,108,4465.37,19,76,2
1,20260908,2,15,61,135,5334.6,19,96,3
1,20260908,3,20,71,160,6342.2,19,111,4
1,20260908,4,25,81,182,6845,19,125,5
1,20260908,5,30,91,204,7760.4,19,139,6
1,20260908,6,35,103,236,8689.6,21,158,7
1,20260908,7,40,113,257,9519.5,21,169,8
16,20260923,0,6,25,26,371.767,0,9,1
16,20260923,1,11,59,138,5456.67,26,96,2
16,20260923,2,15,69,162,6221,27,106,3
16,20260923,3,20,79,181,6831.97,27,115,4
16,20260923,4,25,89,199,7320.47,27,120,5
16,20260923,5,30,99,215,7831.93,27,127,6
16,20260923,6,35,111,242,8726.4,29,139,7
16,20260923,7,40,121,261,9480.17,29,150,8
6,20260913,0,6,25,27,401.433,0,8,1
6,20260913,1,11,60,146,6136.2,26,94,2
6,20260913,2,16,70,165,6539.97,26,104,3
6,20260913,3,21,81,190,7282.47,27,124,4
6,20260913,4,26,91,211,7985.3,27,137,5
6,20260913,5,30,103,243,9106.13,30,154,6
6,20260913,6,35,113,259,9315.33,30,162,7
6,20260913,7,40,123,276,9704.93,30,165,8
35,20260942,0,5,24,26,390.733,0,7,1
35,20260942,1,10,50,111,4510.1,17,69,2
35,20260942,2,15,64,149,5662.97,22,95,3
35,20260942,3,20,74,168,5939.17,22,109,4
35,20260942,4,25,84,184,6324.93,22,113,5
35,20260942,5,30,94,201,6656.23,22,119,6
35,20260942,6,35,104,218,7016.4,22,126,7
35,20260942,7,40,114,235,7349.17,22,129,8
