a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
0,1,6043,1,2,2,3,0,1877,1,43,0,46,123,0
1,0,6043,1,2,3,2,0,2700,3,61,58,89,11,0
0,1,6044,2,2,2,3,0,1620,1,40,0,30,109,0
1,0,6044,2,2,3,2,0,2700,3,71,29,110,76,0
0,1,6045,0,3,2,3,0,1670,1,75,0,486,287,0
1,0,6045,0,3,3,2,0,1861,1,25,0,560,471,0
0,1,6046,1,3,2,3,1,1759,1,0,68,212,363,0
1,0,6046,1,3,3,2,1,1108,1,0,101,521,171,0
0,1,6047,2,3,2,3,0,1638,2,113,109,600,207,0
1,0,6047,2,3,3,2,1,2024,1,0,7,372,319,0
0,1,6048,0,4,2,3,0,1629,2,61,50,600,533,0
1,0,6048,0,4,3,2,1,1629,2,50,61,533,600,0
0,1,6049,1,4,2,3,0,1186,1,66,0,306,403,0
1,0,6049,1,4,3,2,1,1970,1,0,69,480,549,0
0,1,6050,2,4,2,3,1,1545,2,80,54,305,600,0
1,0,6050,2,4,3,2,1,805,1,0,19,245,52,0
0,1,6051,0,5,2,3,0,948,2,113,63,600,0,0
1,0,6051,0,5,3,2,1,1702,1,0,98,499,325,0
0,1,6052,1,5,2,3,0,1298,2,102,50,600,0,0
1,0,6052,1,5,3,2,1,2215,2,14,102,279,600,0
0,1,6053,2,5,2,3,0,2142,2,69,47,600,285,0
1,0,6053,2,5,3,2,0,1213,2,103,113,600,93,0
0,1,6054,0,0,3,0,1,764,1,0,55,36,0,0
1,0,6054,0,0,0,3,0,589,1,60,0,0,36,0
0,1,6055,1,0,3,0,1,942,1,0,41,104,0,0
1,0,6055,1,0,0,3,0,1279,1,21,0,128,64,0
0,1,6056,2,0,3,0,1,849,1,0,56,62,0,0
1,0,6056,2,0,0,3,1,2460,1,0,113,0,81,0
0,1,6057,0,1,3,0,0,2700,3,10,10,77,0,0
1,0,6057,0,1,0,3,0,1946,1,64,0,0,155,0
0,1,6058,1,1,3,0,1,1602,1,0,22,126,0,0
1,0,6058,1,1,0,3,0,1986,1,18,0,84,188,0
0,1,6059,2,1,3,0,0,1942,1,69,0,512,0,0
1,0,6059,2,1,0,3,1,2700,3,72,65,104,352,0
0,1,6060,0,2,3,0,1,1202,1,0,34,82,0,0
1,0,6060,0,2,0,3,0,1892,1,65,0,0,84,0
0,1,6061,1,2,3,0,1,1603,1,0,67,32,91,0
1,0,6061,1,2,0,3,0,1309,1,58,0,0,148,0
0,1,6062,2,2,3,0,1,2284,1,0,51,102,0,0
1,0,6062,2,2,0,3,0,1366,1,45,0,0,88,0
0,1,6063,0,3,3,0,0,884,2,36,57,600,0,0
1,0,6063,0,3,0,3,1,884,2,57,36,0,600,0
0,1,6064,1,3,3,0,1,994,1,0,45,50,90,0
1,0,6064,1,3,0,3,0,931,1,86,0,0,215,0
0,1,6065,2,3,3,0,1,1168,1,0,2,336,43,0
1,0,6065,2,3,0,3,0,1399,1,42,0,65,269,0
0,1,6066,0,4,3,0,0,763,2,113,101,600,0,0
1,0,6066,0,4,0,3,1,1488,1,0,102,243,593,0
0,1,6067,1,4,3,0,0,598,1,5,0,177,0,0
1,0,6067,1,4,0,3,1,1605,2,26,43,76,600,0
0,1,6068,2,4,3,0,1,565,1,0,23,119,0,0
1,0,6068,2,4,0,3,0,1049,1,64,0,16,160,0
0,1,6069,0,5,3,0,0,1137,2,113,86,600,0,0
1,0,6069,0,5,0,3,1,1181,2,82,113,0,600,0
0,1,6070,1,5,3,0,0,1111,1,62,0,548,0,0
1,0,6070,1,5,0,3,1,1401,2,41,113,74,600,0
0,1,6071,2,5,3,0,1,1453,1,0,21,492,210,0
1,0,6071,2,5,0,3,1,1587,2,29,102,442,600,0
0,2,6000,0,0,0,1,0,1621,1,35,0,179,184,0
2,0,6000,0,0,1,0,1,1098,1,0,23,106,119,0
0,2,6001,1,0,0,1,0,699,1,47,0,30,0,0
2,0,6001,1,0,1,0,0,583,1,50,0,214,143,0
0,2,6002,2,0,0,1,0,1186,1,85,0,131,39,0
2,0,6002,2,0,1,0,0,597,1,20,0,169,193,0
0,2,6003,0,1,0,1,0,384,1,10,0,60,76,0
2,0,6003,0,1,1,0,1,401,1,0,10,76,77,0
0,2,6004,1,1,0,1,0,346,1,35,0,97,0,0
2,0,6004,1,1,1,0,1,361,1,0,7,17,11,0
0,2,6005,2,1,0,1,1,506,1,0,12,29,0,0
2,0,6005,2,1,1,0,0,208,1,94,0,7,0,0
0,2,6006,0,2,0,1,0,193,1,39,0,0,0,0
2,0,6006,0,2,1,0,1,193,1,0,39,0,0,0
0,2,6007,1,2,0,1,0,294,1,38,0,25,0,0
2,0,6007,1,2,1,0,1,1169,1,0,10,0,44,0
0,2,6008,2,2,0,1,1,256,1,0,62,67,0,0
2,0,6008,2,2,1,0,0,208,1,26,0,0,0,0
0,2,6009,0,3,0,1,1,1192,1,0,4,252,270,0
2,0,6009,0,3,1,0,0,1192,1,4,0,270,252,0
