starter,seed,region,friends,battles,rounds,combat_seconds,losses,remedies,bells
0,20260907,0,5,26,26,439.667,6,9,1
0,20260907,1,10,37,47,1186.63,7,17,2
0,20260907,2,15,47,63,1949.6,7,26,3
0,20260907,3,20,57,80,2521.3,7,37,4
0,20260907,4,25,67,99,3125.13,7,48,5
0,20260907,5,30,77,116,3635.3,7,56,6
0,20260907,6,35,87,135,4291,7,62,7
0,20260907,7,40,97,152,4937.43,7,67,8
1,20260908,0,5,25,25,918.167,6,12,1
1,20260908,1,10,38,61,2494.4,9,26,2
1,20260908,2,15,51,92,3696.9,12,41,3
1,20260908,3,20,62,114,4370.97,13,51,4
1,20260908,4,25,72,134,4829.77,13,58,5
1,20260908,5,30,82,154,5517.3,13,74,6
1,20260908,6,35,93,181,6439.33,14,91,7
1,20260908,7,40,103,198,7000.87,14,99,8
16,20260923,0,6,25,25,450.033,0,8,1
16,20260923,1,11,39,60,1769.9,4,20,2
16,20260923,2,15,48,78,2603.27,4,26,3
16,20260923,3,20,58,95,3167.2,4,34,4
16,20260923,4,25,68,111,3835.9,4,43,5
16,20260923,5,30,78,129,4377.07,4,51,6
16,20260923,6,35,90,159,5328.53,6,66,7
16,20260923,7,40,101,185,6607.7,7,79,8
6,20260913,0,6,25,27,476.733,0,8,1
6,20260913,1,11,35,46,1089.6,0,15,2
6,20260913,2,16,45,62,1341.77,0,19,3
6,20260913,3,21,55,78,1546.1,0,29,4
6,20260913,4,26,65,94,1775,0,37,5
6,20260913,5,30,74,109,2051.07,0,41,6
6,20260913,6,35,86,135,2578.1,2,53,7
6,20260913,7,40,96,158,3687.93,2,66,8
35,20260942,0,5,24,26,431.6,0,8,1
35,20260942,1,10,36,58,1877.23,2,22,2
35,20260942,2,15,47,90,2779.07,3,43,3
35,20260942,3,20,58,112,3431.1,4,56,4
35,20260942,4,25,71,145,4694.1,7,76,5
35,20260942,5,30,81,161,5017.03,7,79,6
35,20260942,6,35,93,188,5581.57,9,92,7
35,20260942,7,40,103,208,6529.63,9,105,8
