a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
0,1,1000,0,0,0,0,1,604,1,0,46,11,7,0
1,0,1000,0,0,0,0,0,604,1,46,0,7,11,0
0,1,1001,1,1,1,0,1,799,1,0,79,0,54,0
1,0,1001,1,1,0,1,0,663,1,59,0,64,0,0
0,1,1002,2,2,2,0,1,793,1,0,55,3,27,0
1,0,1002,2,2,0,2,0,1121,1,10,0,42,5,0
0,2,1000,0,0,0,0,0,351,1,9,0,4,0,0
2,0,1000,0,0,0,0,1,351,1,0,9,0,4,0
0,2,1001,1,1,1,0,0,304,1,34,0,4,0,0
2,0,1001,1,1,0,1,0,487,1,39,0,0,4,0
0,2,1002,2,2,2,0,1,288,1,0,45,4,0,0
2,0,1002,2,2,0,2,0,375,1,6,0,0,4,0
0,3,1000,0,0,0,0,1,593,1,0,7,74,18,0
3,0,1000,0,0,0,0,0,593,1,7,0,18,74,0
0,3,1001,1,1,1,0,1,838,1,0,63,0,0,0
3,0,1001,1,1,0,1,0,736,1,1,0,0,0,0
0,3,1002,2,2,2,0,0,715,1,83,0,5,8,0
3,0,1002,2,2,0,2,0,827,1,13,0,0,0,0
0,4,1000,0,0,0,0,1,720,1,0,71,0,27,0
4,0,1000,0,0,0,0,0,720,1,71,0,27,0,0
0,4,1001,1,1,1,0,1,540,1,0,30,35,0,0
4,0,1001,1,1,0,1,0,883,1,52,0,0,58,0
0,4,1002,2,2,2,0,1,882,1,0,124,36,82,0
4,0,1002,2,2,0,2,0,892,1,107,0,96,70,0
0,5,1000,0,0,0,0,1,799,1,0,45,6,6,0
5,0,1000,0,0,0,0,0,799,1,45,0,6,6,0
0,5,1001,1,1,1,0,1,1102,1,0,120,15,36,0
5,0,1001,1,1,0,1,0,1102,1,120,0,36,15,0
0,5,1002,2,2,2,0,1,941,1,0,80,0,0,0
5,0,1002,2,2,0,2,0,941,1,90,0,0,0,0
0,6,1000,0,0,0,0,0,420,1,50,0,10,0,0
6,0,1000,0,0,0,0,1,420,1,0,50,0,10,0
0,6,1001,1,1,1,0,0,636,1,66,0,35,19,0
6,0,1001,1,1,0,1,0,785,1,23,0,4,47,0
0,6,1002,2,2,2,0,0,605,1,27,0,36,4,0
6,0,1002,2,2,0,2,0,884,1,1,0,14,14,0
0,7,1000,0,0,0,0,1,484,1,0,52,0,0,0
7,0,1000,0,0,0,0,0,484,1,52,0,0,0,0
0,7,1001,1,1,1,0,0,354,1,64,0,0,6,0
7,0,1001,1,1,0,1,1,354,1,0,64,6,0,0
0,7,1002,2,2,2,0,0,425,1,54,0,1,0,0
7,0,1002,2,2,0,2,0,484,1,10,0,0,1,0
0,8,1000,0,0,0,0,0,1200,1,12,0,18,12,0
8,0,1000,0,0,0,0,1,1200,1,0,12,12,18,0
0,8,1001,1,1,1,0,0,886,1,24,0,0,10,0
8,0,1001,1,1,0,1,0,881,1,1,0,10,0,0
0,8,1002,2,2,2,0,1,1627,1,0,9,61,111,0
8,0,1002,2,2,0,2,0,1561,1,17,0,0,0,0
0,9,1000,0,0,0,0,0,631,1,66,0,0,29,0
9,0,1000,0,0,0,0,1,631,1,0,66,29,0,0
0,9,1001,1,1,1,0,0,784,1,20,0,0,0,0
9,0,1001,1,1,0,1,1,814,1,0,17,0,0,0
0,9,1002,2,2,2,0,0,830,1,63,0,18,0,0
9,0,1002,2,2,0,2,1,908,1,0,63,0,18,0
0,10,1000,0,0,0,0,1,805,1,0,37,130,77,0
10,0,1000,0,0,0,0,0,805,1,37,0,77,130,0
0,10,1001,1,1,1,0,0,626,1,18,0,25,7,0
10,0,1001,1,1,0,1,1,990,1,0,10,0,0,0
0,10,1002,2,2,2,0,1,911,1,0,21,53,24,0
10,0,1002,2,2,0,2,0,754,1,18,0,1,13,0
0,11,1000,0,0,0,0,0,1273,1,17,0,2,3,0
11,0,1000,0,0,0,0,1,1273,1,0,17,3,2,0
0,11,1001,1,1,1,0,1,703,1,0,56,0,0,0
11,0,1001,1,1,0,1,0,1240,1,66,0,13,11,0
0,11,1002,2,2,2,0,0,1066,1,37,0,30,1,0
11,0,1002,2,2,0,2,0,721,1,37,0,1,0,0
0,12,1000,0,0,0,0,0,787,1,33,0,0,13,0
12,0,1000,0,0,0,0,1,787,1,0,33,13,0,0
0,12,1001,1,1,1,0,1,707,1,0,10,0,28,0
12,0,1001,1,1,0,1,0,707,1,10,0,28,0,0
0,12,1002,2,2,2,0,0,720,1,58,0,3,6,0
12,0,1002,2,2,0,2,1,810,1,0,58,6,3,0
0,13,1000,0,0,0,0,0,240,1,11,0,4,0,0
13,0,1000,0,0,0,0,1,240,1,0,11,0,4,0
0,13,1001,1,1,1,0,1,268,1,0,23,4,0,0
13,0,1001,1,1,0,1,0,366,1,64,0,0,4,0
0,13,1002,2,2,2,0,1,288,1,0,17,4,0,0
13,0,1002,2,2,0,2,1,212,1,0,22,0,4,0
0,14,1000,0,0,0,0,0,720,1,68,0,0,0,0
14,0,1000,0,0,0,0,1,720,1,0,68,0,0,0
0,14,1001,1,1,1,0,0,767,1,57,0,18,0,0
14,0,1001,1,1,0,1,1,725,1,0,57,0,0,0
0,14,1002,2,2,2,0,1,1099,1,0,32,8,0,0
14,0,1002,2,2,0,2,0,1099,1,10,0,0,8,0
0,15,1000,0,0,0,0,0,1072,1,1,0,68,91,0
15,0,1000,0,0,0,0,1,1072,1,0,1,91,68,0
0,15,1001,1,1,1,0,1,1225,1,0,36,0,40,0
15,0,1001,1,1,0,1,0,862,1,105,0,48,8,0
0,15,1002,2,2,2,0,1,977,1,0,27,9,11,0
15,0,1002,2,2,0,2,0,976,1,83,0,11,1,0
0,16,1000,0,0,0,0,0,873,1,2,0,4,0,0
16,0,1000,0,0,0,0,1,873,1,0,2,0,4,0
0,16,1001,1,1,1,0,0,568,1,4,0,3,0,0
16,0,1001,1,1,0,1,1,732,1,0,28,9,0,0
0,16,1002,2,2,2,0,0,429,1,46,0,13,0,0
16,0,1002,2,2,0,2,1,569,1,0,50,0,11,0
0,17,1000,0,0,0,0,0,526,1,58,0,0,3,0
