a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
0,2,1008,2,2,0,1,1,370,1,0,42,4,0,0
2,0,1008,2,2,1,0,0,517,1,47,0,11,9,0
0,2,1009,0,0,1,2,0,270,1,69,0,4,0,0
2,0,1009,0,0,2,1,1,270,1,0,69,0,4,0
0,2,1010,1,0,1,2,0,442,1,9,0,5,0,0
2,0,1010,1,0,2,1,1,308,1,0,69,0,5,0
0,2,1011,2,0,1,2,1,304,1,0,34,5,0,0
2,0,1011,2,0,2,1,0,325,1,8,0,0,5,0
0,2,1012,0,1,1,2,0,555,1,13,0,4,0,0
2,0,1012,0,1,2,1,1,555,1,0,13,0,4,0
0,2,1013,1,1,1,2,0,323,1,5,0,4,0,0
2,0,1013,1,1,2,1,0,476,1,18,0,0,4,0
0,2,1014,2,1,1,2,1,211,1,0,31,4,0,0
2,0,1014,2,1,2,1,0,211,1,67,0,0,4,0
0,2,1015,0,2,1,2,0,357,1,29,0,4,0,0
2,0,1015,0,2,2,1,1,357,1,0,29,0,4,0
0,2,1016,1,2,1,2,1,418,1,0,11,4,0,0
2,0,1016,1,2,2,1,0,472,1,47,0,0,4,0
0,2,1017,2,2,1,2,1,418,1,0,43,5,0,0
2,0,1017,2,2,2,1,0,418,1,73,0,0,5,0
0,2,1018,0,0,2,3,1,607,1,0,7,7,95,0
2,0,1018,0,0,3,2,0,607,1,7,0,95,7,0
0,2,1019,1,0,2,3,0,485,1,41,0,23,90,0
2,0,1019,1,0,3,2,0,705,1,4,0,90,26,0
0,2,1020,2,0,2,3,0,378,1,61,0,0,81,0
2,0,1020,2,0,3,2,1,450,1,0,26,81,0,0
0,2,1021,0,1,2,3,0,532,1,40,0,0,63,0
2,0,1021,0,1,3,2,1,532,1,0,40,63,0,0
0,2,1022,1,1,2,3,1,542,1,0,25,0,64,0
2,0,1022,1,1,3,2,1,272,1,0,26,64,0,0
0,2,1023,2,1,2,3,1,520,1,0,54,0,73,0
2,0,1023,2,1,3,2,0,520,1,4,0,73,0,0
0,2,1024,0,2,2,3,1,530,1,0,1,22,102,0
2,0,1024,0,2,3,2,0,530,1,1,0,102,22,0
0,2,1025,1,2,2,3,0,480,1,3,0,0,82,0
2,0,1025,1,2,3,2,1,578,1,0,3,77,9,0
0,2,1026,2,2,2,3,0,431,1,53,0,7,112,0
2,0,1026,2,2,3,2,-1,558,1,0,0,112,7,0
0,2,1027,0,0,3,0,0,217,1,17,0,107,0,0
2,0,1027,0,0,0,3,1,217,1,0,17,0,107,0
0,2,1028,1,0,3,0,0,310,1,30,0,107,0,0
2,0,1028,1,0,0,3,0,472,1,73,0,0,82,0
0,2,1029,2,0,3,0,0,181,1,49,0,77,0,0
2,0,1029,2,0,0,3,0,429,1,15,0,0,70,0
0,2,1030,0,1,3,0,0,338,1,10,0,108,0,0
2,0,1030,0,1,0,3,1,338,1,0,10,0,108,0
0,2,1031,1,1,3,0,0,240,1,13,0,134,0,0
2,0,1031,1,1,0,3,0,692,1,26,0,0,230,0
0,2,1032,2,1,3,0,0,521,1,12,0,75,0,0
2,0,1032,2,1,0,3,0,408,1,7,0,0,108,0
0,2,1033,0,2,3,0,0,217,1,17,0,108,0,0
2,0,1033,0,2,0,3,1,217,1,0,17,0,108,0
0,2,1034,1,2,3,0,0,255,1,41,0,125,0,0
2,0,1034,1,2,0,3,1,216,1,0,23,0,108,0
0,2,1035,2,2,3,0,0,270,1,33,0,74,0,0
2,0,1035,2,2,0,3,1,510,1,0,17,0,107,0
0,3,1000,0,0,0,1,0,467,1,61,0,0,0,0
3,0,1000,0,0,1,0,1,467,1,0,61,0,0,0
0,3,1001,1,0,0,1,1,539,1,0,53,0,0,0
3,0,1001,1,0,1,0,0,432,1,23,0,18,0,0
0,3,1002,2,0,0,1,1,566,1,0,22,0,0,0
3,0,1002,2,0,1,0,1,900,1,0,70,13,0,0
0,3,1003,0,1,0,1,0,279,1,61,0,0,2,0
3,0,1003,0,1,1,0,1,279,1,0,61,2,0,0
0,3,1004,1,1,0,1,0,510,1,50,0,0,7,0
3,0,1004,1,1,1,0,1,450,1,0,20,0,5,0
0,3,1005,2,1,0,1,0,426,1,89,0,0,0,0
3,0,1005,2,1,1,0,0,745,1,25,0,0,5,0
0,3,1006,0,2,0,1,0,372,1,50,0,0,0,0
3,0,1006,0,2,1,0,1,372,1,0,50,0,0,0
0,3,1007,1,2,0,1,0,389,1,77,0,0,0,0
3,0,1007,1,2,1,0,1,480,1,0,30,0,6,0
0,3,1008,2,2,0,1,0,550,1,33,0,0,0,0
3,0,1008,2,2,1,0,0,633,1,10,0,35,9,0
0,3,1009,0,0,1,2,1,414,1,0,57,22,0,0
3,0,1009,0,0,2,1,0,414,1,57,0,0,22,0
0,3,1010,1,0,1,2,1,469,1,0,43,28,21,0
3,0,1010,1,0,2,1,0,469,1,43,0,21,28,0
0,3,1011,2,0,1,2,1,536,1,0,36,21,0,0
3,0,1011,2,0,2,1,0,535,1,50,0,0,21,0
0,3,1012,0,1,1,2,1,468,1,0,59,4,0,0
3,0,1012,0,1,2,1,0,468,1,59,0,0,4,0
0,3,1013,1,1,1,2,1,516,1,0,26,0,0,0
3,0,1013,1,1,2,1,0,743,1,9,0,0,0,0
0,3,1014,2,1,1,2,1,750,1,0,8,14,6,0
3,0,1014,2,1,2,1,0,714,1,77,0,11,35,0
0,3,1015,0,2,1,2,1,414,1,0,59,0,5,0
3,0,1015,0,2,2,1,0,414,1,59,0,5,0,0
0,3,1016,1,2,1,2,0,811,1,10,0,0,0,0
3,0,1016,1,2,2,1,0,702,1,63,0,0,0,0
0,3,1017,2,2,1,2,1,774,1,0,42,0,0,0
3,0,1017,2,2,2,1,0,660,1,63,0,0,0,0
0,3,1018,0,0,2,3,0,477,1,17,0,0,54,0
3,0,1018,0,0,3,2,1,477,1,0,17,54,0,0
0,3,1019,1,0,2,3,0,579,1,4,0,0,84,0
3,0,1019,1,0,3,2,1,750,1,0,3,67,0,0
0,3,1020,2,0,2,3,0,723,1,89,0,14,68,0
3,0,1020,2,0,3,2,0,877,1,21,0,59,0,0
0,3,1021,0,1,2,3,0,462,1,9,0,0,51,0
3,0,1021,0,1,3,2,1,462,1,0,9,51,0,0
0,3,1022,1,1,2,3,1,765,1,0,11,0,130,0
3,0,1022,1,1,3,2,0,745,1,57,0,166,0,0
0,3,1023,2,1,2,3,0,540,1,28,0,0,126,0
3,0,1023,2,1,3,2,1,700,1,0,40,83,15,0
0,3,1024,0,2,2,3,0,475,1,61,0,0,55,0
3,0,1024,0,2,3,2,1,475,1,0,61,55,0,0
0,3,1025,1,2,2,3,0,604,1,58,0,0,106,0
3,0,1025,1,2,3,2,0,493,1,30,0,65,0,0
0,3,1026,2,2,2,3,1,649,1,0,29,0,68,0
3,0,1026,2,2,3,2,1,429,1,0,38,61,0,0
0,3,1027,0,0,3,0,0,540,1,13,0,54,0,0
3,0,1027,0,0,0,3,1,540,1,0,13,0,54,0
0,3,1028,1,0,3,0,0,648,1,43,0,70,0,0
3,0,1028,1,0,0,3,0,474,1,54,0,0,6,0
0,3,1029,2,0,3,0,-1,768,1,0,0,25,0,0
3,0,1029,2,0,0,3,1,511,1,0,21,0,70,0
0,3,1030,0,1,3,0,1,628,1,0,1,67,0,0
3,0,1030,0,1,0,3,0,628,1,1,0,0,67,0
0,3,1031,1,1,3,0,0,265,1,54,0,22,0,0
3,0,1031,1,1,0,3,0,631,1,79,0,0,75,0
0,3,1032,2,1,3,0,0,613,1,65,0,65,0,0
3,0,1032,2,1,0,3,0,496,1,91,0,0,15,0
0,3,1033,0,2,3,0,0,360,1,72,0,62,0,0
3,0,1033,0,2,0,3,1,360,1,0,72,0,62,0
0,3,1034,1,2,3,0,-1,595,1,0,0,41,0,0
3,0,1034,1,2,0,3,0,690,1,50,0,0,64,0
0,3,1035,2,2,3,0,1,616,1,0,27,75,0,0
3,0,1035,2,2,0,3,0,528,1,56,0,0,30,0
0,4,1000,0,0,0,1,0,739,1,47,0,77,12,0
4,0,1000,0,0,1,0,1,739,1,0,47,12,77,0
0,4,1001,1,0,0,1,1,690,1,0,65,0,27,0
4,0,1001,1,0,1,0,1,671,1,0,11,10,15,0
0,4,1002,2,0,0,1,1,772,1,0,19,26,48,0
4,0,1002,2,0,1,0,0,959,1,13,0,39,8,0
0,4,1003,0,1,0,1,0,545,1,46,0,2,17,0
4,0,1003,0,1,1,0,1,545,1,0,46,17,2,0
0,4,1004,1,1,0,1,0,511,1,23,0,27,3,0
4,0,1004,1,1,1,0,0,630,1,41,0,27,0,0
0,4,1005,2,1,0,1,0,539,1,71,0,7,17,0
4,0,1005,2,1,1,0,0,655,1,49,0,66,0,0
0,4,1006,0,2,0,1,1,683,1,0,12,20,56,0
4,0,1006,0,2,1,0,0,683,1,12,0,56,20,0
0,4,1007,1,2,0,1,1,759,1,0,26,23,30,0
4,0,1007,1,2,1,0,1,690,1,0,47,57,49,0
0,4,1008,2,2,0,1,0,893,1,62,0,0,12,0
4,0,1008,2,2,1,0,0,810,1,28,0,26,23,0
0,4,1009,0,0,1,2,0,608,1,100,0,0,0,0
4,0,1009,0,0,2,1,1,608,1,0,100,0,0,0
