starter,seed,region,friends,battles,rounds,combat_seconds,losses,remedies,bells
0,20260907,0,3,9,15,336.333,1,8,1
0,20260907,1,8,23,48,2096.6,6,27,2
0,20260907,2,13,33,69,3127.17,6,38,3
0,20260907,3,18,43,91,3898.2,6,52,4
0,20260907,4,23,53,112,4386.2,6,62,5
0,20260907,5,28,63,135,5143.7,6,74,6
0,20260907,6,33,73,155,5895.4,6,86,7
0,20260907,7,40,83,173,6552.57,6,97,8
6,20260913,0,5,10,20,619.967,0,15,1
6,20260913,1,10,23,51,2379.27,4,33,2
6,20260913,2,15,34,78,3627.4,5,52,3
6,20260913,3,20,44,96,4018.8,5,59,4
6,20260913,4,25,54,113,4512.17,5,65,5
6,20260913,5,29,63,131,5102.07,5,70,6
6,20260913,6,34,73,149,5678.93,5,75,7
6,20260913,7,40,83,167,6196.7,5,81,8
35,20260942,0,5,9,17,580.2,0,13,1
35,20260942,1,10,21,44,1986.37,2,25,2
35,20260942,2,15,31,67,3037.2,2,36,3
35,20260942,3,20,41,88,3675.73,2,48,4
35,20260942,4,25,51,109,4092.83,2,60,5
35,20260942,5,30,61,130,4908.2,2,74,6
35,20260942,6,35,71,154,5728.2,2,86,7
35,20260942,7,40,81,173,6375.2,2,97,8
