region,attempts,completed,encounters,losses,combat_seconds,remedies
0,6,0,29,6,1270.13,27
1,2,1,8,1,694.567,7
2,1,1,6,0,231.9,4
3,1,1,6,0,289.5,5
4,3,1,15,2,641.167,14
5,1,1,6,0,323.533,5
6,3,1,14,2,928.533,13
7,1,1,6,0,203.633,1
