a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
0,2,2008,2,2,0,1,0,285,1,11,0,45,0,0
2,0,2008,2,2,1,0,1,330,1,0,16,52,57,0
0,2,2009,0,0,1,2,1,286,1,0,17,64,0,0
2,0,2009,0,0,2,1,0,286,1,17,0,0,64,0
0,2,2010,1,0,1,2,0,211,1,49,0,63,0,0
2,0,2010,1,0,2,1,0,344,1,23,0,35,104,0
0,2,2011,2,0,1,2,0,279,1,21,0,63,0,0
2,0,2011,2,0,2,1,1,484,1,0,9,0,144,0
0,2,2012,0,1,1,2,1,289,1,0,72,0,0,0
2,0,2012,0,1,2,1,0,289,1,72,0,0,0,0
0,2,2013,1,1,1,2,1,442,1,0,47,64,2,0
2,0,2013,1,1,2,1,0,229,1,90,0,0,0,0
0,2,2014,2,1,1,2,1,289,1,0,31,40,0,0
2,0,2014,2,1,2,1,0,433,1,31,0,0,26,0
0,2,2015,0,2,1,2,1,202,1,0,1,67,0,0
2,0,2015,0,2,2,1,0,202,1,1,0,0,67,0
0,2,2016,1,2,1,2,0,200,1,32,0,64,0,0
2,0,2016,1,2,2,1,1,296,1,0,7,0,68,0
0,2,2017,2,2,1,2,1,315,1,0,27,66,1,0
2,0,2017,2,2,2,1,1,278,1,0,7,0,71,0
0,2,2018,0,0,2,3,0,302,1,1,0,63,0,0
2,0,2018,0,0,3,2,1,302,1,0,1,0,63,0
0,2,2019,1,0,2,3,0,210,1,49,0,64,0,0
2,0,2019,1,0,3,2,1,330,1,0,1,0,65,0
0,2,2020,2,0,2,3,0,261,1,49,0,63,0,0
2,0,2020,2,0,3,2,0,373,1,30,0,0,66,0
0,2,2021,0,1,2,3,1,436,1,0,28,43,0,0
2,0,2021,0,1,3,2,0,436,1,28,0,0,43,0
0,2,2022,1,1,2,3,1,212,1,0,48,68,0,0
2,0,2022,1,1,3,2,0,226,1,63,0,34,0,0
0,2,2023,2,1,2,3,1,233,1,0,11,56,0,0
2,0,2023,2,1,3,2,0,388,1,39,0,185,0,0
0,2,2024,0,2,2,3,0,236,1,21,0,67,0,0
2,0,2024,0,2,3,2,1,236,1,0,21,0,67,0
0,2,2025,1,2,2,3,0,295,1,11,0,66,0,0
2,0,2025,1,2,3,2,0,223,1,15,0,0,66,0
0,2,2026,2,2,2,3,0,210,1,27,0,66,0,0
2,0,2026,2,2,3,2,1,279,1,0,7,0,67,0
0,2,2027,0,0,3,0,1,342,1,0,7,81,0,0
2,0,2027,0,0,0,3,0,342,1,7,0,0,81,0
0,2,2028,1,0,3,0,0,420,1,1,0,72,0,0
2,0,2028,1,0,0,3,0,241,1,74,0,0,105,0
0,2,2029,2,0,3,0,0,205,1,49,0,64,0,0
2,0,2029,2,0,0,3,0,263,1,40,0,0,70,0
0,2,2030,0,1,3,0,1,223,1,0,23,0,27,0
2,0,2030,0,1,0,3,0,223,1,23,0,27,0,0
0,2,2031,1,1,3,0,1,247,1,0,4,97,0,0
2,0,2031,1,1,0,3,0,223,1,89,0,69,0,0
0,2,2032,2,1,3,0,0,211,1,8,0,0,0,0
2,0,2032,2,1,0,3,0,157,1,85,0,0,34,0
0,2,2033,0,2,3,0,0,181,1,23,0,67,0,0
2,0,2033,0,2,0,3,1,181,1,0,23,0,67,0
0,2,2034,1,2,3,0,1,157,1,0,23,79,0,0
2,0,2034,1,2,0,3,0,223,1,14,0,0,77,0
0,2,2035,2,2,3,0,1,325,1,0,10,101,0,0
2,0,2035,2,2,0,3,0,226,1,39,0,0,68,0
0,3,2000,0,0,0,1,0,570,1,30,0,33,10,0
3,0,2000,0,0,1,0,1,570,1,0,30,10,33,0
0,3,2001,1,0,0,1,0,360,1,72,0,19,10,0
3,0,2001,1,0,1,0,0,510,1,3,0,0,59,0
0,3,2002,2,0,0,1,0,454,1,39,0,59,0,0
3,0,2002,2,0,1,0,0,587,1,12,0,0,48,0
0,3,2003,0,1,0,1,1,769,1,0,38,0,44,0
3,0,2003,0,1,1,0,0,769,1,38,0,44,0,0
0,3,2004,1,1,0,1,0,839,1,15,0,23,0,0
3,0,2004,1,1,1,0,1,561,1,0,50,9,0,0
0,3,2005,2,1,0,1,1,818,1,0,80,39,0,0
3,0,2005,2,1,1,0,1,643,1,0,26,45,24,0
0,3,2006,0,2,0,1,1,543,1,0,25,0,0,0
3,0,2006,0,2,1,0,1,609,1,0,3,65,14,0
0,3,2007,1,2,0,1,0,289,1,61,0,79,0,0
3,0,2007,1,2,1,0,0,618,1,22,0,5,85,0
0,3,2008,2,2,0,1,0,490,1,24,0,37,58,0
