a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
0,2,1008,2,2,0,1,1,305,1,0,44,4,0,0
2,0,1008,2,2,1,0,0,484,1,60,0,4,4,0
0,2,1009,0,0,1,2,0,189,1,64,0,4,0,0
2,0,1009,0,0,2,1,1,189,1,0,64,0,4,0
0,2,1010,1,0,1,2,0,291,1,6,0,5,0,0
2,0,1010,1,0,2,1,1,330,1,0,64,0,5,0
0,2,1011,2,0,1,2,1,273,1,0,48,5,0,0
2,0,1011,2,0,2,1,0,602,1,18,0,0,5,0
0,2,1012,0,1,1,2,0,392,1,14,0,4,0,0
2,0,1012,0,1,2,1,1,392,1,0,14,0,4,0
0,2,1013,1,1,1,2,0,490,1,11,0,4,0,0
2,0,1013,1,1,2,1,0,421,1,70,0,5,6,0
0,2,1014,2,1,1,2,1,272,1,0,62,4,0,0
2,0,1014,2,1,2,1,0,353,1,32,0,0,4,0
0,2,1015,0,2,1,2,0,256,1,28,0,4,0,0
2,0,1015,0,2,2,1,1,256,1,0,28,0,4,0
0,2,1016,1,2,1,2,1,231,1,0,37,4,0,0
2,0,1016,1,2,2,1,0,343,1,74,0,0,4,0
0,2,1017,2,2,1,2,1,207,1,0,41,5,0,0
2,0,1017,2,2,2,1,0,208,1,79,0,0,5,0
0,2,1018,0,0,2,3,1,512,1,0,38,0,109,0
2,0,1018,0,0,3,2,0,512,1,38,0,109,0,0
0,2,1019,1,0,2,3,1,387,1,0,31,0,68,0
2,0,1019,1,0,3,2,0,603,1,4,0,111,0,0
0,2,1020,2,0,2,3,0,404,1,22,0,0,28,0
2,0,1020,2,0,3,2,0,483,1,32,0,115,0,0
0,2,1021,0,1,2,3,1,429,1,0,23,0,87,0
2,0,1021,0,1,3,2,0,429,1,23,0,87,0,0
0,2,1022,1,1,2,3,0,337,1,37,0,0,6,0
2,0,1022,1,1,3,2,1,438,1,0,37,53,0,0
0,2,1023,2,1,2,3,1,502,1,0,25,22,104,0
2,0,1023,2,1,3,2,0,256,1,52,0,92,0,0
0,2,1024,0,2,2,3,0,474,1,36,0,0,77,0
2,0,1024,0,2,3,2,1,474,1,0,36,77,0,0
0,2,1025,1,2,2,3,0,201,1,34,0,0,82,0
2,0,1025,1,2,3,2,0,561,1,7,0,77,12,0
0,2,1026,2,2,2,3,-1,420,1,0,0,0,66,0
2,0,1026,2,2,3,2,0,420,1,11,0,66,0,0
0,2,1027,0,0,3,0,1,346,1,0,28,109,0,0
2,0,1027,0,0,0,3,0,346,1,28,0,0,109,0
0,2,1028,1,0,3,0,1,461,1,0,18,96,0,0
2,0,1028,1,0,0,3,0,474,1,69,0,0,82,0
0,2,1029,2,0,3,0,0,181,1,42,0,77,0,0
2,0,1029,2,0,0,3,0,472,1,25,0,0,70,0
0,2,1030,0,1,3,0,1,172,1,0,22,108,0,0
2,0,1030,0,1,0,3,0,172,1,22,0,0,108,0
0,2,1031,1,1,3,0,1,295,1,0,10,188,0,0
2,0,1031,1,1,0,3,1,338,1,0,2,0,106,0
0,2,1032,2,1,3,0,0,501,1,29,0,75,0,0
2,0,1032,2,1,0,3,1,358,1,0,6,0,108,0
0,2,1033,0,2,3,0,1,291,1,0,15,105,0,0
2,0,1033,0,2,0,3,0,291,1,15,0,0,105,0
0,2,1034,1,2,3,0,1,328,1,0,12,104,0,0
2,0,1034,1,2,0,3,1,240,1,0,4,0,108,0
0,2,1035,2,2,3,0,0,376,1,24,0,74,0,0
2,0,1035,2,2,0,3,0,366,1,66,0,0,107,0
0,3,1000,0,0,0,1,0,408,1,61,0,0,0,0
3,0,1000,0,0,1,0,1,408,1,0,61,0,0,0
0,3,1001,1,0,0,1,0,840,1,39,0,0,0,0
3,0,1001,1,0,1,0,1,615,1,0,13,14,0,0
0,3,1002,2,0,0,1,0,552,1,58,0,0,0,0
3,0,1002,2,0,1,0,1,822,1,0,30,13,1,0
0,3,1003,0,1,0,1,0,297,1,61,0,1,4,0
3,0,1003,0,1,1,0,1,297,1,0,61,4,1,0
0,3,1004,1,1,0,1,0,570,1,20,0,0,0,0
3,0,1004,1,1,1,0,1,630,1,0,37,0,0,0
0,3,1005,2,1,0,1,0,409,1,69,0,0,0,0
3,0,1005,2,1,1,0,1,588,1,0,16,0,5,0
0,3,1006,0,2,0,1,0,355,1,50,0,0,0,0
3,0,1006,0,2,1,0,1,355,1,0,50,0,0,0
0,3,1007,1,2,0,1,0,564,1,66,0,13,0,0
3,0,1007,1,2,1,0,1,480,1,0,30,0,6,0
0,3,1008,2,2,0,1,0,579,1,33,0,0,0,0
3,0,1008,2,2,1,0,0,529,1,65,0,9,9,0
0,3,1009,0,0,1,2,1,509,1,0,60,1,0,0
3,0,1009,0,0,2,1,0,509,1,60,0,0,1,0
0,3,1010,1,0,1,2,1,556,1,0,39,30,0,0
3,0,1010,1,0,2,1,0,664,1,37,0,0,30,0
0,3,1011,2,0,1,2,1,768,1,0,15,21,0,0
3,0,1011,2,0,2,1,0,768,1,9,0,0,21,0
0,3,1012,0,1,1,2,1,467,1,0,55,7,7,0
3,0,1012,0,1,2,1,0,467,1,55,0,7,7,0
0,3,1013,1,1,1,2,1,744,1,0,51,0,0,0
3,0,1013,1,1,2,1,1,926,1,0,44,0,0,0
0,3,1014,2,1,1,2,0,783,1,33,0,58,9,0
3,0,1014,2,1,2,1,0,814,1,24,0,42,42,0
0,3,1015,0,2,1,2,1,446,1,0,66,7,20,0
3,0,1015,0,2,2,1,0,446,1,66,0,20,7,0
0,3,1016,1,2,1,2,1,549,1,0,9,0,0,0
3,0,1016,1,2,2,1,0,538,1,46,0,0,0,0
0,3,1017,2,2,1,2,1,463,1,0,54,0,23,0
3,0,1017,2,2,2,1,0,825,1,63,0,0,0,0
0,3,1018,0,0,2,3,0,607,1,36,0,0,65,0
3,0,1018,0,0,3,2,1,607,1,0,36,65,0,0
0,3,1019,1,0,2,3,0,545,1,32,0,0,64,0
3,0,1019,1,0,3,2,1,573,1,0,39,61,0,0
0,3,1020,2,0,2,3,1,769,1,0,13,11,72,0
3,0,1020,2,0,3,2,0,501,1,37,0,65,1,0
0,3,1021,0,1,2,3,0,373,1,61,0,0,45,0
3,0,1021,0,1,3,2,1,373,1,0,61,45,0,0
0,3,1022,1,1,2,3,0,613,1,58,0,0,67,0
3,0,1022,1,1,3,2,1,622,1,0,27,70,0,0
0,3,1023,2,1,2,3,1,606,1,0,11,0,107,0
3,0,1023,2,1,3,2,1,616,1,0,2,90,3,0
0,3,1024,0,2,2,3,0,406,1,61,0,0,50,0
3,0,1024,0,2,3,2,1,406,1,0,61,50,0,0
0,3,1025,1,2,2,3,1,680,1,0,59,1,69,0
3,0,1025,1,2,3,2,1,659,1,0,2,65,0,0
0,3,1026,2,2,2,3,1,649,1,0,29,0,72,0
3,0,1026,2,2,3,2,0,526,1,23,0,61,0,0
0,3,1027,0,0,3,0,0,481,1,54,0,51,0,0
3,0,1027,0,0,0,3,1,481,1,0,54,0,51,0
0,3,1028,1,0,3,0,1,534,1,0,12,69,0,0
3,0,1028,1,0,0,3,0,564,1,60,0,0,46,0
0,3,1029,2,0,3,0,0,630,1,25,0,59,0,0
3,0,1029,2,0,0,3,0,381,1,49,0,0,105,0
0,3,1030,0,1,3,0,0,288,1,72,0,26,0,0
3,0,1030,0,1,0,3,1,288,1,0,72,0,26,0
0,3,1031,1,1,3,0,0,268,1,31,0,38,0,0
3,0,1031,1,1,0,3,1,616,1,0,20,0,61,0
0,3,1032,2,1,3,0,0,634,1,33,0,100,0,0
3,0,1032,2,1,0,3,0,656,1,56,0,0,55,0
0,3,1033,0,2,3,0,0,348,1,19,0,63,0,0
3,0,1033,0,2,0,3,1,348,1,0,19,0,63,0
0,3,1034,1,2,3,0,1,513,1,0,36,74,0,0
3,0,1034,1,2,0,3,0,618,1,18,0,0,46,0
0,3,1035,2,2,3,0,1,616,1,0,43,77,0,0
3,0,1035,2,2,0,3,0,527,1,56,0,0,30,0
0,4,1000,0,0,0,1,1,672,1,0,16,0,22,0
4,0,1000,0,0,1,0,0,672,1,16,0,22,0,0
0,4,1001,1,0,0,1,0,611,1,41,0,29,4,0
4,0,1001,1,0,1,0,0,600,1,97,0,5,6,0
0,4,1002,2,0,0,1,1,730,1,0,26,40,60,0
4,0,1002,2,0,1,0,0,750,1,60,0,35,19,0
0,4,1003,0,1,0,1,1,771,1,0,17,32,22,0
4,0,1003,0,1,1,0,0,771,1,17,0,22,32,0
0,4,1004,1,1,0,1,0,584,1,49,0,40,32,0
4,0,1004,1,1,1,0,1,575,1,0,53,21,25,0
0,4,1005,2,1,0,1,1,540,1,0,34,4,28,0
4,0,1005,2,1,1,0,1,793,1,0,9,11,15,0
0,4,1006,0,2,0,1,1,572,1,0,71,22,55,0
4,0,1006,0,2,1,0,0,572,1,71,0,55,22,0
0,4,1007,1,2,0,1,0,1170,1,32,0,31,57,0
4,0,1007,1,2,1,0,0,590,1,56,0,0,5,0
0,4,1008,2,2,0,1,1,840,1,0,17,22,58,0
4,0,1008,2,2,1,0,1,1126,1,0,4,37,25,0
0,4,1009,0,0,1,2,1,715,1,0,56,10,0,0
4,0,1009,0,0,2,1,0,715,1,56,0,0,10,0
0,4,1010,1,0,1,2,1,630,1,0,123,68,0,0
4,0,1010,1,0,2,1,0,1320,1,53,0,12,48,0
0,4,1011,2,0,1,2,1,630,1,0,6,36,0,0
4,0,1011,2,0,2,1,0,622,1,34,0,0,15,0
0,4,1012,0,1,1,2,1,780,1,0,23,29,0,0
4,0,1012,0,1,2,1,0,780,1,23,0,0,29,0
0,4,1013,1,1,1,2,0,433,1,15,0,3,0,0
4,0,1013,1,1,2,1,1,743,1,0,64,0,9,0
0,4,1014,2,1,1,2,0,540,1,70,0,4,0,0
4,0,1014,2,1,2,1,0,480,1,75,0,0,0,0
0,4,1015,0,2,1,2,1,574,1,0,30,2,0,0
4,0,1015,0,2,2,1,0,574,1,30,0,0,2,0
0,4,1016,1,2,1,2,0,370,1,29,0,3,0,0
4,0,1016,1,2,2,1,0,900,1,40,0,0,10,0
0,4,1017,2,2,1,2,1,660,1,0,19,3,0,0
4,0,1017,2,2,2,1,0,1105,1,16,0,12,7,0
0,4,1018,0,0,2,3,1,720,1,0,41,34,113,0
4,0,1018,0,0,3,2,0,720,1,41,0,113,34,0
0,4,1019,1,0,2,3,1,540,1,0,32,86,53,0
4,0,1019,1,0,3,2,0,1087,1,44,0,253,0,0
0,4,1020,2,0,2,3,1,540,1,0,46,0,221,0
4,0,1020,2,0,3,2,1,656,1,0,22,77,0,0
0,4,1021,0,1,2,3,0,595,1,13,0,0,62,0
4,0,1021,0,1,3,2,1,595,1,0,13,62,0,0
0,4,1022,1,1,2,3,0,653,1,8,0,11,98,0
4,0,1022,1,1,3,2,0,733,1,28,0,66,19,0
0,4,1023,2,1,2,3,1,720,1,0,104,37,115,0
4,0,1023,2,1,3,2,0,640,1,2,0,70,1,0
0,4,1024,0,2,2,3,1,690,1,0,12,20,76,0
4,0,1024,0,2,3,2,0,690,1,12,0,76,20,0
0,4,1025,1,2,2,3,0,616,1,27,0,0,97,0
4,0,1025,1,2,3,2,0,660,1,8,0,82,0,0
0,4,1026,2,2,2,3,1,780,1,0,24,4,76,0
4,0,1026,2,2,3,2,0,660,1,15,0,76,7,0
0,4,1027,0,0,3,0,0,570,1,31,0,102,12,0
4,0,1027,0,0,0,3,1,570,1,0,31,12,102,0
0,4,1028,1,0,3,0,0,476,1,41,0,114,0,0
4,0,1028,1,0,0,3,0,570,1,77,0,0,78,0
0,4,1029,2,0,3,0,1,570,1,0,24,115,0,0
4,0,1029,2,0,0,3,0,450,1,69,0,8,39,0
0,4,1030,0,1,3,0,1,529,1,0,36,92,0,0
4,0,1030,0,1,0,3,0,529,1,36,0,0,92,0
0,4,1031,1,1,3,0,1,510,1,0,80,90,7,0
4,0,1031,1,1,0,3,0,810,1,28,0,0,223,0
0,4,1032,2,1,3,0,1,626,1,0,61,69,0,0
4,0,1032,2,1,0,3,0,904,1,45,0,0,195,0
