a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
0,2,2008,2,2,0,1,0,219,1,21,0,43,0,0
2,0,2008,2,2,1,0,0,262,1,69,0,0,45,0
0,2,2009,0,0,1,2,1,432,1,0,46,61,11,0
2,0,2009,0,0,2,1,1,333,1,0,22,76,64,0
0,2,2010,1,0,1,2,1,286,1,0,8,63,0,0
2,0,2010,1,0,2,1,0,398,1,51,0,24,87,0
0,2,2011,2,0,1,2,0,253,1,49,0,63,0,0
2,0,2011,2,0,2,1,1,468,1,0,1,0,132,0
0,2,2012,0,1,1,2,1,289,1,0,72,0,0,0
2,0,2012,0,1,2,1,0,289,1,72,0,0,0,0
0,2,2013,1,1,1,2,1,261,1,0,28,60,0,0
2,0,2013,1,1,2,1,0,229,1,90,0,0,0,0
0,2,2014,2,1,1,2,1,289,1,0,31,40,0,0
2,0,2014,2,1,2,1,0,433,1,31,0,0,26,0
0,2,2015,0,2,1,2,1,157,1,0,12,0,0,0
2,0,2015,0,2,2,1,0,157,1,12,0,0,0,0
0,2,2016,1,2,1,2,0,280,1,5,0,26,0,0
2,0,2016,1,2,2,1,0,157,1,94,0,0,0,0
0,2,2017,2,2,1,2,1,223,1,0,12,0,0,0
2,0,2017,2,2,2,1,0,157,1,94,0,0,0,0
0,2,2018,0,0,2,3,0,316,1,4,0,61,61,0
2,0,2018,0,0,3,2,0,292,1,41,0,0,64,0
0,2,2019,1,0,2,3,0,240,1,49,0,62,0,0
2,0,2019,1,0,3,2,0,259,1,26,0,0,67,0
0,2,2020,2,0,2,3,0,220,1,81,0,62,0,0
2,0,2020,2,0,3,2,1,469,1,0,9,0,133,0
0,2,2021,0,1,2,3,1,359,1,0,12,43,0,0
2,0,2021,0,1,3,2,0,394,1,2,0,92,43,0
0,2,2022,1,1,2,3,1,385,1,0,8,99,0,0
2,0,2022,1,1,3,2,0,226,1,63,0,34,0,0
0,2,2023,2,1,2,3,1,298,1,0,42,57,10,0
2,0,2023,2,1,3,2,1,400,1,0,9,160,0,0
0,2,2024,0,2,2,3,1,157,1,0,32,0,0,0
2,0,2024,0,2,3,2,0,157,1,32,0,0,0,0
0,2,2025,1,2,2,3,0,189,1,13,0,0,0,0
2,0,2025,1,2,3,2,0,157,1,94,0,0,0,0
0,2,2026,2,2,2,3,0,154,1,45,0,0,0,0
2,0,2026,2,2,3,2,0,157,1,94,0,0,0,0
0,2,2027,0,0,3,0,1,420,1,0,14,74,13,0
2,0,2027,0,0,0,3,0,417,1,19,0,3,74,0
0,2,2028,1,0,3,0,1,307,1,0,10,68,0,0
2,0,2028,1,0,0,3,0,223,1,68,0,0,73,0
0,2,2029,2,0,3,0,0,232,1,9,0,62,0,0
2,0,2029,2,0,0,3,0,295,1,32,0,0,70,0
0,2,2030,0,1,3,0,1,223,1,0,23,0,27,0
2,0,2030,0,1,0,3,0,223,1,23,0,27,0,0
0,2,2031,1,1,3,0,1,196,1,0,25,79,0,0
2,0,2031,1,1,0,3,0,223,1,89,0,69,0,0
0,2,2032,2,1,3,0,0,211,1,8,0,0,0,0
2,0,2032,2,1,0,3,0,157,1,85,0,0,34,0
0,2,2033,0,2,3,0,1,157,1,0,12,0,0,0
2,0,2033,0,2,0,3,0,157,1,12,0,0,0,0
0,2,2034,1,2,3,0,1,157,1,0,4,0,0,0
2,0,2034,1,2,0,3,0,195,1,75,0,0,14,0
0,2,2035,2,2,3,0,1,275,1,0,35,61,0,0
2,0,2035,2,2,0,3,0,201,1,86,0,0,20,0
0,3,2000,0,0,0,1,1,655,1,0,18,62,39,0
3,0,2000,0,0,1,0,0,611,1,8,0,48,55,0
0,3,2001,1,0,0,1,1,606,1,0,3,36,42,0
3,0,2001,1,0,1,0,1,604,1,0,36,36,15,0
0,3,2002,2,0,0,1,1,515,1,0,19,46,0,0
3,0,2002,2,0,1,0,0,650,1,12,0,29,0,0
0,3,2003,0,1,0,1,1,658,1,0,18,0,0,0
3,0,2003,0,1,1,0,1,580,1,0,27,0,0,0
0,3,2004,1,1,0,1,0,839,1,15,0,23,0,0
3,0,2004,1,1,1,0,1,561,1,0,50,9,0,0
0,3,2005,2,1,0,1,1,741,1,0,33,39,0,0
3,0,2005,2,1,1,0,0,579,1,32,0,20,33,0
0,3,2006,0,2,0,1,1,543,1,0,25,0,0,0
3,0,2006,0,2,1,0,1,584,1,0,23,11,0,0
0,3,2007,1,2,0,1,0,454,1,39,0,82,26,0
3,0,2007,1,2,1,0,1,415,1,0,43,69,0,0
0,3,2008,2,2,0,1,1,621,1,0,41,6,19,0
3,0,2008,2,2,1,0,0,369,1,68,0,52,67,0
0,3,2009,0,0,1,2,1,771,1,0,23,64,16,0
3,0,2009,0,0,2,1,1,600,1,0,17,10,126,0
0,3,2010,1,0,1,2,0,451,1,31,0,13,10,0
3,0,2010,1,0,2,1,1,589,1,0,17,0,45,0
0,3,2011,2,0,1,2,0,538,1,22,0,29,0,0
3,0,2011,2,0,2,1,0,645,1,11,0,27,0,0
0,3,2012,0,1,1,2,-1,741,1,0,0,107,38,0
3,0,2012,0,1,2,1,1,673,1,0,5,29,92,0
0,3,2013,1,1,1,2,0,574,1,12,0,7,0,0
3,0,2013,1,1,2,1,0,602,1,88,0,68,31,0
0,3,2014,2,1,1,2,0,553,1,49,0,15,15,0
3,0,2014,2,1,2,1,0,654,1,8,0,0,0,0
0,3,2015,0,2,1,2,0,443,1,50,0,13,0,0
3,0,2015,0,2,2,1,0,552,1,19,0,0,42,0
0,3,2016,1,2,1,2,0,346,1,46,0,44,0,0
3,0,2016,1,2,2,1,0,492,1,24,0,53,8,0
0,3,2017,2,2,1,2,1,441,1,0,6,64,0,0
3,0,2017,2,2,2,1,0,456,1,52,0,0,10,0
0,3,2018,0,0,2,3,1,726,1,0,52,42,0,0
3,0,2018,0,0,3,2,0,726,1,52,0,0,42,0
0,3,2019,1,0,2,3,1,705,1,0,4,81,132,0
3,0,2019,1,0,3,2,0,791,1,2,0,62,92,0
0,3,2020,2,0,2,3,1,576,1,0,35,0,44,0
3,0,2020,2,0,3,2,0,1038,1,19,0,0,241,0
0,3,2021,0,1,2,3,0,640,1,24,0,0,87,0
3,0,2021,0,1,3,2,1,640,1,0,24,89,0,0
0,3,2022,1,1,2,3,0,720,1,3,0,28,41,0
